க-	கா
கா	க-
கி	கீ
கீ	கி
கு	கூ
கூ	கு
கெ	கே
கே	கெ
கொ	கோ
கோ	கொ
கை	கௌ
கௌ	கை
ங-	ஙா
ஙா	ங-
ஙி	ஙீ
ஙீ	ஙி
ஙு	ஙூ
ஙூ	ஙு
ஙெ	ஙே
ஙே	ஙெ
ஙொ	ஙோ
ஙோ	ஙொ
ஙை	ஙௌ
ஙௌ	ஙை
ச-	சா
சா	ச-
சி	சீ
சீ	சி
சு	சூ
சூ	சு
செ	சே
சே	செ
சொ	சோ
சோ	சொ
சை	சௌ
சௌ	சை
ஞ-	ஞா
ஞா	ஞ-
ஞி	ஞீ
ஞீ	ஞி
ஞு	ஞூ
ஞூ	ஞு
ஞெ	ஞே
ஞே	ஞெ
ஞொ	ஞோ
ஞோ	ஞொ
ஞை	ஞௌ
ஞௌ	ஞை
ட-	டா
டா	ட-
டி	டீ
டீ	டி
டு	டூ
டூ	டு
டெ	டே
டே	டெ
டொ	டோ
டோ	டொ
டை	டௌ
டௌ	டை
ண-	ணா
ணா	ண-
ணி	ணீ
ணீ	ணி
ணு	ணூ
ணூ	ணு
ணெ	ணே
ணே	ணெ
ணொ	ணோ
ணோ	ணொ
ணை	ணௌ
ணௌ	ணை
த-	தா
தா	த-
தி	தீ
தீ	தி
து	தூ
தூ	து
தெ	தே
தே	தெ
தொ	தோ
தோ	தொ
தை	தௌ
தௌ	தை
ந-	நா
நா	ந-
நி	நீ
நீ	நி
நு	நூ
நூ	நு
நெ	நே
நே	நெ
நொ	நோ
நோ	நொ
நை	நௌ
நௌ	நை
ப-	பா
பா	ப-
பி	பீ
பீ	பி
பு	பூ
பூ	பு
பெ	பே
பே	பெ
பொ	போ
போ	பொ
பை	பௌ
பௌ	பை
ம-	மா
மா	ம-
மி	மீ
மீ	மி
மு	மூ
மூ	மு
மெ	மே
மே	மெ
மொ	மோ
மோ	மொ
மை	மௌ
மௌ	மை
ய-	யா
யா	ய-
யி	யீ
யீ	யி
யு	யூ
யூ	யு
யெ	யே
யே	யெ
யொ	யோ
யோ	யொ
யை	யௌ
யௌ	யை
ர-	ரா
ரா	ர-
ரி	ரீ
ரீ	ரி
ரு	ரூ
ரூ	ரு
ரெ	ரே
ரே	ரெ
ரொ	ரோ
ரோ	ரொ
ரை	ரௌ
